type,1,2,3,4,5,6,7,8,9,10
normal,0.0,0.0005341768,1.2091081e-25,1.7921057e-11,1.6637094e-07,1.5263878e-13,2.9943322e-12,1.9394617e-23,3.7497183e-10,1.343868e-21
normal,1.6077198e-27,0.0,0.00021624565,2.5508764e-20,1.1191741e-22,0.96915704,1.8941075e-12,4.368686e-06,1.24790074e-29,4.254451e-26
attack,4.7067973e-05,1.0,9.896983e-35,1.0,0.9998382,0.0019395053,1.0,1.0,8.275973e-17,6.212215e-18
normal,6.639309e-10,9.8739145e-33,2.143326e-24,0.14004308,0.0,6.9671596e-23,2.3704005e-17,0.064683914,3.49073e-05,1.4478822e-30
normal,9.398649e-23,0.0,2.5196907e-13,0.0022582412,6.314103e-36,5.387599e-25,7.369623e-10,7.390279e-12,0.9988126,2.4110936e-24
attack,3.5557486e-31,0.9882126,1.1226722e-29,1.0,1.0,0.0,3.6907432e-23,0.99999976,0.0,0.8476481
normal,2.6343554e-13,3.6558072e-06,0.009474605,4.710126e-12,0.032460064,0.0,9.355385e-08,1.3932416e-14,2.2872305e-10,5.385411e-21
normal,3.548483e-25,9.080961e-31,4.84781e-27,4.8406966e-19,1.206221e-30,5.1680227e-06,1.2872312e-10,1.7395397e-09,0.23421752,1.0400616e-15
attack,0.9999974,8.307665e-10,5.7452847e-21,1.0,1.0,1.0,1.1405786e-09,9.705339e-12,1.0,0.9999866
attack,2.605274e-09,1.07693285e-20,0.9994764,1.0,1.0,1.0,1.0,0.008825719,9.714522e-35,1.0
attack,0.0036704242,1.0,1.0,3.1180571e-24,1.0,0.05123502,1.0,0.99999225,3.8484664e-05,0.01499927
normal,5.4409735e-08,3.8172968e-11,1.1136919e-09,2.2543075e-16,1.590723e-28,7.21693e-10,3.0776162e-05,1.697904e-18,2.936414e-25,1.2698031e-21
attack,0.0,1.0,4.3162747e-19,1.6116148e-17,1.165899e-29,0.99884474,1.0,5.220106e-18,1.0,1.0
normal,7.1402864e-20,1.578753e-21,7.346265e-34,4.499674e-16,8.3700576e-07,4.1897724e-25,3.2644792e-14,0.0,9.233936e-37,1.9886166e-22
attack,0.062459737,1.0,2.5778962e-19,0.9999937,6.999357e-05,1.0,1.0,2.8138326e-27,1.0,0.7040461
attack,3.711121e-35,1.0,0.08766183,0.999968,1.0,1.0,1.0,1.5786651e-18,3.2041474e-11,9.3157094e-20
normal,1.2215096e-32,1.9168951e-31,8.7627395e-24,5.7211516e-32,6.972073e-17,0.0,2.5089833e-27,1.0,1.9848794e-06,8.3572655e-14
normal,0.0,0.0,7.406056e-27,4.7147983e-09,3.4393103e-16,1.6213252e-19,0.9992758,5.1857933e-24,3.3376493e-06,0.0
attack,2.3148191e-17,1.6977589e-36,1.0,1.0,1.0,1.871301e-35,4.8548385e-21,1.0,3.1746427e-34,0.0
normal,5.577803e-24,7.861566e-21,2.0214451e-13,0.02825287,1.777533e-10,0.0,7.767259e-26,1.9427138e-14,4.38361e-08,1.0
attack,1.6670312e-21,1.0,4.5661186e-26,8.7151015e-09,1.0,1.0,3.6613622e-32,1.0,1.0381119e-29,1.0
attack,3.6677645e-17,2.891906e-16,1.0,2.3890776e-14,0.0,0.9959123,2.3155315e-27,1.0,0.9999567,1.0
normal,7.96125e-28,0.0,3.147392e-26,2.3339257e-33,1.3831278e-32,7.522443e-30,0.5352528,1.4892964e-38,8.193619e-22,8.094063e-12
attack,3.8715886e-29,1.0,2.566559e-22,3.799668e-14,0.0,1.0,1.0,4.1034023e-06,1.0,1.0
attack,8.4472803e-26,0.9999597,0.9999987,1.0,4.6385624e-23,0.9999579,2.4673698e-37,3.3499638e-31,0.0,0.99542487
attack,1.4004598e-28,0.0,1.6263369e-26,0.48590055,2.3241393e-05,0.3756088,2.3041626e-14,3.3570473e-33,0.9932916,5.9566457e-08
attack,4.079839e-11,0.99926984,3.5579953e-06,0.0,2.2778493e-28,4.9362463e-19,2.0096773e-32,0.99665236,0.79760075,0.9999454
normal,1.8926714e-22,2.0749023e-18,5.3715155e-23,9.166036e-05,0.13083068,8.1466663e-07,1.3198934e-20,1.4306812e-07,0.0024194121,4.5685104e-24
normal,0.0,2.7917674e-10,4.5073806e-19,0.4913796,1.1231046e-22,0.0,8.998145e-06,1.774318e-18,1.1184093e-16,4.151132e-24
normal,4.595147e-09,4.4717637e-24,1.1176471e-29,2.4687738e-36,4.7087236e-35,6.924455e-21,2.151404e-08,5.7698943e-25,4.5934318e-08,1.2105713e-32
normal,7.6359e-28,0.0,1.5597738e-06,8.591356e-08,1.0247012e-18,1.9413098e-18,7.116343e-24,6.3767194e-22,1.1623615e-26,2.2563596e-27
attack,0.0,1.0,3.5846148e-12,0.9969847,6.0834826e-28,0.0,1.0,0.99802434,0.99997395,1.9702869e-33
attack,3.4784273e-26,0.006191194,1.0,1.0053308e-32,1.8415532e-05,0.99999833,0.0,0.0,0.99961424,1.5642372e-13
normal,1.4003337e-25,1.6701291e-12,2.6779597e-07,2.1220065e-21,1.2299913e-25,2.9297424e-12,3.709396e-19,5.141244e-07,0.7252145,1.5516605e-07
attack,6.304018e-10,1.1147854e-22,1.0,9.831652e-10,0.9180305,1.3842735e-24,1.0,0.9999739,1.5740036e-27,7.519308e-17
attack,0.9999993,4.591959e-16,1.0,0.00016906857,4.272956e-28,1.8464224e-24,0.9988874,1.0,1.0,0.9999943
attack,0.0,2.4624081e-27,7.0737565e-20,2.1370723e-24,8.161729e-09,1.0,1.0,1.0,1.0,1.0
normal,2.8365776e-16,8.245874e-18,2.0195562e-06,0.0,1.182054e-26,3.127311e-25,3.188659e-09,3.4897846e-22,1.707207e-30,4.1518877e-26
normal,0.0,0.9664521,0.0,1.6171237e-28,1.8819654e-11,0.0,0.0,9.07078e-24,2.8004035e-35,0.0
attack,0.9999909,0.0,1.0,1.0,1.5820487e-16,4.9214064e-21,1.0,5.622634e-35,1.0,1.17248484e-17
normal,0.0,2.4023918e-30,7.88341e-33,5.2617313e-25,3.5639606e-18,5.323032e-37,0.0071837306,1.7451691e-28,8.743473e-24,0.0006351769
attack,1.7177828e-23,1.0,6.5373736e-25,1.3400212e-17,6.1731956e-31,1.0,1.0,5.630756e-17,1.0,1.0
normal,0.0,6.5734054e-26,8.253939e-16,9.906033e-08,2.7914025e-12,9.791468e-11,1.9630887e-29,2.6890811e-17,9.786026e-24,1.2614087e-19
normal,0.0,4.1138676e-38,1.0977286e-29,3.4477962e-31,1.5749453e-21,0.0,1.4123668e-14,0.0,0.0018346608,1.42331e-23
attack,1.0273097e-07,0.0,0.9936111,1.2771167e-32,0.96673673,0.0030049086,0.99999976,1.8764985e-12,1.5783367e-07,1.0
normal,0.0,3.5592608e-25,1.3471573e-11,4.3371215e-26,3.2731975e-09,0.0,3.4032674e-21,0.9228744,1.1156635e-34,1.3939497e-05
attack,2.862729e-18,0.9999988,1.0,3.6205169e-16,1.0,0.9963076,4.2652908e-33,1.0,0.0,1.0
normal,0.0,0.5591081,1.913001e-09,1.0616201e-06,1.7153801e-30,1.3796555e-09,7.9202096e-08,1.588898e-20,0.0,0.0
attack,2.825096e-14,1.0,1.9573319e-13,1.0,0.0,0.0,1.0,1.0,2.1461028e-36,1.0
attack,4.0146413e-26,0.0,1.2653827e-11,9.2284696e-05,4.2800013e-29,0.9999997,1.0,0.00080537796,0.2210232,0.9975617
normal,1.0863989e-34,0.0,5.3424665e-27,1.026844e-21,4.104738e-11,2.8073202e-15,3.6128734e-31,5.011676e-23,0.9997088,3.6804235e-38
normal,3.833184e-24,6.595235e-25,0.0,2.2331772e-29,0.0,4.2322554e-05,1.0260583e-26,2.3141751e-24,0.8809433,6.1505784e-10
normal,0.0,7.146867e-24,1.253124e-07,2.7018326e-16,5.155614e-13,4.614182e-34,1.5942258e-31,9.289458e-18,0.0,1.0716442e-05
normal,0.0,0.0,1.4085117e-29,8.713262e-19,0.0017950535,5.2687318e-21,9.1201835e-10,2.4808522e-18,8.2185363e-07,2.3678286e-29
attack,0.9783696,0.0,1.0,1.0,5.718186e-09,0.39888337,1.0,1.0,1.5084367e-26,0.0
attack,9.330605e-10,4.526914e-37,1.0,1.0,1.0,0.00018426776,2.2954924e-16,1.4506401e-16,1.054437e-34,1.0
normal,1.2686678e-17,2.5017453e-22,1.7804133e-33,1.8309161e-15,3.5582724e-31,0.0,1.206585e-05,1.7981422e-11,0.97736764,4.426791e-22
normal,7.149807e-14,2.634359e-29,0.0,3.1984053e-20,6.476814e-08,0.0,9.681166e-06,6.371438e-31,2.7480804e-22,1.9984982e-19
normal,2.1429854e-14,0.057924002,2.333359e-08,1.9225528e-08,5.7423594e-10,0.0,0.98376966,1.0450643e-12,0.005148679,1.2715737e-34
attack,2.705838e-36,1.0,0.9999723,1.1417077e-25,3.6251327e-16,0.0,0.99132013,0.9980583,1.0,0.000116293995
attack,0.0,1.0,1.0,1.0,0.99963486,0.9974829,4.0969248e-22,6.394892e-07,3.6475285e-12,1.0787854e-12
attack,0.9999277,1.0,3.248311e-22,1.0,2.630151e-22,1.0,1.0,0.0,0.0,7.075388e-24
attack,0.9779736,3.709219e-23,0.0,1.0,7.789731e-31,1.0,8.525188e-10,3.5276174e-10,0.99233174,1.0
attack,1.69366e-11,3.8693325e-20,6.5041525e-14,0.88012266,0.94117606,1.0,1.6377384e-12,1.0,0.9999999,0.93105227
attack,1.0,2.0398626e-16,1.3941407e-13,0.99999547,0.99331605,1.2536349e-23,0.6568481,1.0,4.1281974e-19,2.8405319e-22
attack,3.3435573e-22,0.0,1.0,1.1186662e-22,6.7519665e-34,0.9983932,1.9326655e-17,1.0,1.0,0.9910665
attack,0.99568176,1.0,1.6675727e-20,3.1847378e-32,1.0,1.0,5.0241986e-14,0.9999958,9.254257e-35,1.0
attack,2.513404e-16,0.0,3.7566075e-16,0.99999905,1.0,0.9999949,1.2973076e-32,7.911754e-12,5.819628e-26,0.07962847
normal,2.6874158e-20,2.395354e-23,3.47573e-21,2.3325732e-14,2.2088234e-14,2.1378959e-24,1.9274886e-18,0.96993935,4.5530953e-24,1.758938e-27
attack,1.0,2.3408196e-13,1.0,0.0,6.727029e-19,0.9999999,2.6753022e-11,2.8943783e-16,0.99970126,1.0
normal,2.3788582e-27,1.522818e-08,1.1199506e-31,1.7430291e-14,1.6684453e-19,7.151756e-22,0.9951079,8.088424e-06,2.114019e-33,3.9881794e-23
normal,7.9735065e-26,9.1242025e-10,5.8068294e-12,6.991283e-11,1.2842116e-30,3.5986244e-23,3.9572505e-11,0.0001642406,7.563413e-16,1.8046507e-36
attack,0.0,1.0,0.0,1.0,2.6079193e-05,0.33275217,0.0006682277,2.1319354e-23,0.9999976,0.999999
normal,0.0,3.972921e-37,2.8558773e-08,3.48842e-26,0.2883909,6.513415e-10,5.952262e-38,4.220085e-12,1.0112072e-07,0.9943427
normal,0.0,6.5143035e-23,5.0693337e-33,0.999871,8.365984e-19,5.9124703e-33,3.2401675e-22,3.0636967e-28,5.1273796e-21,2.2667537e-36
attack,0.41953862,0.0,8.177643e-08,1.8525299e-34,1.0,1.0,0.0,1.0,9.414634e-27,1.0
attack,0.21633121,0.95911837,3.7019776e-10,1.6593595e-11,1.0,0.9999086,0.0012059808,0.99994195,4.5535355e-29,1.0
normal,1.5330467e-31,0.00025346875,1.24283465e-17,6.696532e-35,1.5216776e-07,6.664169e-12,3.820341e-30,8.1727745e-20,0.0007894933,2.3303578e-11
normal,2.2539692e-11,0.9998034,2.702908e-10,3.8277035e-17,3.1964355e-05,1.9794582e-15,2.1476693e-19,3.7154039e-06,3.613506e-13,6.7814816e-12
attack,3.347633e-12,1.0,2.8847913e-14,7.839054e-34,0.0,1.0,1.0,1.1760277e-25,1.0,1.0
attack,0.9874887,6.906592e-05,0.9951277,1.0,1.0,1.7730812e-24,0.00050875545,7.2602685e-25,6.244008e-24,0.99998987
attack,0.9998231,0.0,1.0,1.0,0.2374787,0.0,1.0,0.0,1.0,0.99818945
normal,0.0,0.0,0.004790187,1.846727e-11,3.1763923e-12,4.0366954e-10,0.0,0.0,4.5608274e-18,4.165021e-08
normal,2.9099438e-31,7.625421e-28,1.0818057e-24,8.810821e-28,4.7754794e-25,0.0010982156,1.8952478e-25,5.4263356e-17,2.2328893e-05,0.22157386
normal,0.0,3.3221236e-36,9.1209857e-32,7.988914e-18,4.1058892e-11,0.0,0.3522113,0.0,1.1399809e-16,2.4991995e-10
attack,0.826143,0.99999875,1.818268e-09,0.008500189,0.044170022,2.8422552e-22,1.0,1.0,0.9959568,0.94485605
normal,1.038062e-11,2.605985e-20,3.0614505e-30,2.5542269e-08,0.98076856,1.789832e-17,3.9205962e-33,2.0709464e-35,1.3711543e-26,1.8869655e-07
attack,0.66256535,1.0,1.0,0.9940635,1.7506954e-05,0.9999938,3.1633559e-24,1.0,0.0,1.4283164e-27
attack,0.9999847,4.4308087e-31,1.0,1.5119482e-22,1.0,1.0046148e-06,4.0847378e-14,0.9423877,0.99988294,1.0
attack,0.8903237,4.244173e-34,1.0,7.330827e-15,1.0,5.546782e-24,1.9842584e-38,1.0,5.1619815e-20,1.0
attack,3.635006e-16,2.4925864e-18,1.0,2.8687027e-22,0.0,1.0,2.747155e-13,1.0,1.0,1.0
normal,2.710121e-09,9.0489216e-20,8.860593e-23,2.1684569e-18,3.0153052e-18,0.90312237,0.0,1.4961761e-29,6.3467114e-26,0.0
normal,2.6841973e-21,0.941572,3.848452e-16,0.035541266,6.9703965e-06,0.0,5.8870585e-34,3.7689032e-19,3.6652565e-27,1.7571576e-08
attack,0.003025055,6.8021e-06,2.9789459e-12,1.05324574e-14,0.9455713,1.0,0.9162773,3.0903362e-07,4.5651653e-24,0.9997449
attack,0.0024088323,3.9062062e-25,7.398945e-18,1.0,1.0,1.0,1.0,1.3200529e-15,3.6508148e-34,1.0
attack,0.9999856,0.9999714,1.6457875e-29,1.0,0.0,1.2167899e-12,5.933168e-25,0.9999925,0.9999918,9.393665e-16
normal,9.089639e-28,0.0006002486,4.058976e-05,4.5701136e-09,0.0,5.6787216e-20,0.99898636,3.5113274e-20,1.5655096e-23,0.0
attack,1.0,0.9999633,1.1123154e-18,4.6503844e-21,1.0,0.00021973252,0.9974754,6.21163e-23,0.9961772,1.0
attack,3.9998736e-06,1.1821087e-25,1.4431059e-24,1.0,1.0,0.9990537,5.497465e-14,1.3291788e-11,9.7673085e-12,0.39414927
attack,2.9922655e-12,0.00033560395,1.6311795e-08,9.900943e-36,1.0,0.99958414,6.14981e-12,0.9987097,1.0,0.9999444
attack,0.999987,1.8642535e-21,1.5085798e-27,0.99987036,0.9999974,0.0020090342,0.96975976,0.9954004,2.6278083e-19,4.1743752e-26
normal,8.404385e-30,1.1634264e-33,1.5771207e-11,2.6002813e-06,1.5608166e-12,9.822211e-07,0.0,7.05209e-10,0.5970454,6.4524917e-25
normal,8.578599e-27,8.6202627e-19,6.344939e-20,3.410177e-16,5.6965344e-20,1.4692587e-30,0.0,2.437758e-38,2.769229e-32,1.3294249e-07
attack,2.3273945e-15,0.9997828,1.0,1.0,1.0,1.511709e-18,1.0,2.2568755e-20,5.45546e-23,0.0
attack,0.0,0.5907643,0.0,1.0,4.5216815e-31,1.8365094e-33,0.99999934,0.029959947,0.98703206,2.0416858e-37
attack,0.0,0.0,1.0,1.0,1.0,0.65054667,2.2529124e-18,0.0003118813,1.425804e-16,1.0
attack,1.5488608e-10,3.0191355e-12,3.605659e-31,1.0,1.9373658e-34,1.0,1.0,3.5214327e-25,1.0,1.0
attack,0.9117873,9.573778e-18,0.00033801794,1.0,0.9998175,7.449952e-05,0.9988477,0.99794036,1.0,1.0
attack,3.3049048e-08,0.008971453,0.015961021,1.9421232e-27,0.9999965,1.0,7.2449096e-26,7.632701e-27,2.125854e-22,1.0
normal,0.0,4.0201257e-27,8.5577223e-10,8.7964934e-14,1.0113504e-25,3.9279313e-33,0.0,0.999971,3.8434483e-24,6.903238e-17
normal,0.0,0.0,2.2085446e-26,1.6461543e-26,4.267569e-07,0.0,1.5155719e-18,0.0,1.5844648e-12,7.117025e-08
normal,4.273145e-31,1.6266058e-16,9.77423e-33,0.8950242,2.0307844e-33,5.083174e-20,1.4745089e-22,3.684101e-17,6.971681e-30,3.3925203e-37
attack,0.0,1.0592706e-27,2.145455e-37,0.6432061,9.804451e-16,0.99148643,1.0,8.503805e-05,0.9999883,0.9998995
normal,7.262364e-35,8.723619e-31,8.85611e-28,6.604163e-13,0.0017248392,2.852268e-12,1.2827115e-18,9.402971e-19,3.277039e-28,2.0191919e-12
attack,0.0,0.0,0.99869907,2.529055e-21,0.0,1.0,0.9991789,0.0,1.0,1.0
normal,6.489347e-32,3.236978e-16,3.3244525e-12,6.275682e-36,0.0,2.1752533e-23,3.1667597e-17,1.5552008e-15,3.0991565e-23,3.6663722e-21
normal,6.569789e-09,1.1742918e-08,3.7095601e-37,0.0,2.774395e-20,5.9115354e-29,0.0,0.0011756718,0.008918494,4.5997277e-15
normal,6.9939445e-24,0.0,7.653779e-20,0.0,5.6957667e-30,6.149446e-12,0.2899995,3.9784363e-17,1.1379481e-15,2.7820165e-06
normal,6.025832e-36,1.1313898e-05,1.1528567e-14,6.7472e-35,6.0536506e-18,6.560539e-23,0.0,0.0,2.0595e-12,5.0320663e-35
normal,1.6169011e-36,0.0,1.5445815e-12,0.0,0.9999975,3.6318116e-27,2.1372303e-21,9.193486e-21,1.2324126e-21,1.9887126e-17
attack,7.1902334e-10,1.9216533e-13,0.0,1.0,0.00025635958,1.0,1.0,8.894786e-18,1.0,1.0
attack,8.8300085e-26,1.2009196e-09,1.2062388e-16,2.0956801e-14,1.0,1.0,1.0,7.286603e-09,0.99999976,1.0
normal,0.0,0.0034234524,0.0,6.372362e-16,5.34237e-25,0.0,0.9997586,1.5155427e-07,3.011686e-13,8.521859e-24
attack,1.0,1.0085476e-36,1.035278e-11,1.0,0.12556869,1.2808762e-28,1.985515e-12,0.99540454,4.3360297e-26,3.9966596e-32
normal,0.0,2.786707e-07,4.6936115e-25,1.4351971e-36,4.1904097e-26,0.8891404,0.0,1.2818379e-11,2.5435423e-07,1.0605949e-23
normal,7.8284633e-22,2.32242e-22,8.830301e-36,3.0809975e-08,1.7524183e-08,1.45189225e-11,2.1795431e-27,0.6247545,4.5546994e-14,0.70666426
normal,0.0,1.1953795e-36,6.6342726e-32,1.1067538e-18,1.1291729e-10,0.0,3.0909594e-25,1.3174365e-12,0.9011133,0.9999039
attack,0.99999595,6.0563497e-19,0.9999809,1.0,1.0,0.99913204,3.0225003e-27,0.00015035272,7.306479e-12,7.52962e-15
attack,1.0,4.234373e-19,1.4515214e-07,1.4634e-18,0.99992037,5.6932597e-33,1.0,1.9932326e-16,1.0,0.9999794
attack,5.6802696e-09,3.4836005e-14,9.922356e-11,2.2684144e-36,1.0,0.99789816,5.6722604e-12,1.0,1.39079475e-05,0.97838503
normal,5.6665537e-11,2.5160337e-15,0.00012725592,1.9751337e-25,7.1239507e-12,3.2396815e-32,1.5063014e-21,1.5439636e-15,0.12581849,1.1022066e-20
normal,2.5691153e-15,0.00011522075,1.7303124e-22,6.3336597e-12,1.1730534e-05,0.0,2.6707125e-08,0.14912736,4.5579814e-06,1.2139589e-28
attack,0.9862186,2.1274714e-34,0.99999845,1.0,3.0782873e-32,0.99998546,1.0,0.0,7.775119e-10,0.9956369
normal,0.0,0.0,3.5266236e-24,6.4296492e-15,2.2371482e-16,0.0,1.2040058e-14,9.422836e-25,0.0,1.0564925e-15
attack,0.26795936,1.9098327e-28,0.9999888,1.5367606e-10,1.0,2.5840965e-21,0.999963,1.0,0.0040242076,6.013149e-31
normal,1.131859e-26,5.309419e-24,2.6567239e-13,0.0,9.389726e-23,0.92200166,7.264695e-19,7.511928e-20,2.687977e-22,1.1957797e-38
attack,1.0687257e-08,2.8185472e-28,1.0831663e-09,1.3652375e-31,1.0,1.0,1.0,1.6368751e-10,0.6535028,0.99989307
attack,4.251706e-35,1.0,1.539196e-28,3.7624287e-13,1.0,1.0,1.0,1.0,3.9949577e-05,1.3472435e-24
normal,0.0,0.0,1.7194918e-05,0.0070590377,5.8241194e-13,9.816176e-10,3.763702e-19,0.5523118,0.0,3.8349413e-23
attack,1.0,7.565626e-07,6.702291e-06,1.0,1.0,0.999943,7.1570245e-14,0.0,1.0,1.0
attack,0.9999989,0.23269942,1.0,1.0,1.0,1.3685569e-19,1.0,0.9910178,5.5229344e-20,3.6246615e-09
